Player,draft_year,overall_pick,second_contract_year,second_contract_salary,career_ppg,career_rpg,career_apg,career_ws,career_bpm,career_vorp,sc_age,sc_ppg,sc_rpg,sc_apg,sc_games,salary_cap_pct,pick_tier
Darius Bazley,2019,23,2023,4521733,10.0,5.8,1.3,1.8,-2.7,-0.8,22,5.2,3.2,0.9,43,3.656732845416683,21–30
Ty Jerome,2019,24,2023,5014046,7.1,1.9,2.4,1.8,-1.9,0.0,25,6.9,1.7,3.0,45,4.0548671707573485,21–30
Nassir Little,2019,25,2023,4423042,5.8,3.4,0.7,3.4,-2.3,-0.2,22,6.6,2.6,0.9,54,3.5769212728963646,21–30
Dylan Windler,2019,26,2023,4280676,3.3,2.4,0.8,1.3,-1.7,0.1,26,1.7,0.0,0.3,3,3.461789656706158,21–30
Mfiondu Kabengele,2019,27,2023,539571,2.7,1.4,0.4,0.4,-3.1,-0.1,25,1.5,2.5,0.0,4,0.43635194694917306,21–30
Jordan Poole,2019,28,2023,4136606,13.7,2.6,2.9,6.7,-1.5,0.6,23,20.4,2.7,4.5,82,3.345280012939226,21–30
Keldon Johnson,2019,29,2023,4106520,14.4,5.8,1.8,9.3,-0.8,1.4,23,22.0,5.0,2.9,63,3.3209494157130726,21–30
Anthony Edwards,2020,1,2024,13936990,20.3,4.7,3.4,5.1,-0.4,1.9,22,25.9,5.4,5.1,79,10.246204630167401,Top 5
James Wiseman,2020,2,2024,12479556,11.5,5.8,0.7,0.7,-5.0,-0.6,22,7.1,5.3,0.9,63,9.17472743179362,Top 5
LaMelo Ball,2020,3,2024,11224536,18.3,6.4,7.0,8.7,2.8,4.7,22,23.9,5.1,8.0,22,8.252061078804008,Top 5
Patrick Williams,2020,4,2024,10128144,9.2,4.5,1.3,3.3,-2.3,-0.2,22,10.0,3.9,1.5,43,7.446014953573345,Top 5
Isaac Okoro,2020,5,2024,9185866,9.2,3.0,1.9,5.1,-3.5,-1.6,23,9.4,3.0,1.9,69,6.75327045088626,Top 5
Onyeka Okongwu,2020,6,2024,8350015,6.3,4.6,0.7,6.1,0.0,0.8,23,10.2,6.8,1.3,55,6.138769013608193,6–10
Killian Hayes,2020,7,2024,7634253,6.8,3.0,4.5,-0.6,-4.6,-1.5,22,6.9,2.8,4.9,42,5.6125546790569105,6–10
Obi Toppin,2020,8,2024,7005156,6.7,3.0,0.8,5.5,1.0,1.5,25,10.3,3.9,1.6,82,5.150054770954485,6–10
Deni Avdija,2020,9,2024,6449292,7.6,5.1,1.7,3.6,-2.3,-0.2,23,14.7,7.2,3.8,75,4.7413943435204855,6–10
Jalen Smith,2020,10,2024,5193643,6.7,4.4,0.4,2.9,-1.3,0.2,23,9.9,5.5,1.0,61,3.818265561935289,6–10
Devin Vassell,2020,11,2024,6062851,9.1,3.6,1.4,4.8,-0.9,0.8,23,19.5,3.8,4.1,68,4.457290418391278,11–15
Tyrese Haliburton,2020,12,2024,5981026,14.3,3.6,6.9,10.5,2.1,4.6,23,20.1,3.9,10.9,69,4.397134266032451,11–15
Aaron Nesmith,2020,14,2024,5801673,4.2,2.2,0.5,1.5,-3.7,-0.5,24,12.2,3.8,1.5,72,4.265277420398321,11–15
Cole Anthony,2020,15,2024,5704379,14.9,5.1,5.0,1.6,-2.0,0.0,23,11.6,3.8,2.9,81,4.193748759382742,11–15
Isaiah Stewart,2020,16,2024,5423207,8.1,7.7,1.0,7.4,-2.3,-0.2,22,10.9,6.6,1.6,46,3.9870365605310947,16–20
Aleksej Pokusevski,2020,17,2024,5740458,7.8,5.0,2.2,-1.5,-4.2,-1.3,22,5.2,3.2,1.3,28,4.220273340146006,16–20
Josh Green,2020,18,2024,4906936,4.0,2.3,1.0,2.9,-1.8,0.1,23,8.2,3.2,2.3,57,3.6074841384786174,16–20
Saddiq Bey,2020,19,2024,4692389,14.3,5.0,2.2,7.3,-0.4,1.9,24,13.7,6.5,1.5,63,3.4497533469096684,16–20
Precious Achiuwa,2020,20,2024,4509659,7.2,5.1,0.8,3.8,-3.0,-0.7,24,7.6,6.6,1.3,74,3.3154137963990853,16–20
Tyrese Maxey,2020,21,2024,4472995,13.2,2.5,3.2,9.2,0.0,1.9,23,25.9,3.7,6.2,70,3.288459134986509,21–30
Zeke Nnaji,2020,22,2024,4434237,4.9,2.6,0.3,2.7,-2.1,0.0,23,3.2,2.2,0.6,58,3.259965005403578,21–30
Immanuel Quickley,2020,25,2024,4295501,11.4,2.7,2.8,7.5,0.5,1.9,24,17.0,3.8,4.9,68,3.1579689900824137,21–30
Payton Pritchard,2020,26,2024,4157240,6.9,2.1,1.9,5.6,0.4,1.4,26,9.6,3.2,3.4,82,3.0563221855448788,21–30
Udoka Azubuike,2020,27,2024,576415,3.0,2.6,0.0,0.8,-2.0,0.0,24,2.2,2.0,0.2,16,0.4237691238852824,21–30
Jaden McDaniels,2020,28,2024,4017325,8.1,3.9,1.1,3.9,-3.2,-1.0,23,10.5,3.1,1.4,72,2.9534593922997185,21–30
Malachi Flynn,2020,29,2024,3988106,6.0,2.0,2.3,1.8,-2.2,-0.1,25,5.5,1.7,1.9,69,2.931978150432654,21–30
Desmond Bane,2020,30,2024,3959335,14.0,3.8,2.3,10.1,1.3,3.2,25,23.7,4.4,5.5,42,2.910826269473096,21–30
Cade Cunningham,2021,1,2025,13940809,17.4,5.5,5.6,-0.5,-1.6,0.2,23,26.1,6.1,9.1,70,9.916073206817083,Top 5
Jalen Green,2021,2,2025,12483048,17.3,3.4,2.6,0.7,-2.9,-0.5,22,21.0,4.6,3.4,82,8.879170341707685,Top 5
Evan Mobley,2021,3,2025,11227657,15.0,8.3,2.5,5.2,0.6,1.5,23,18.5,9.3,3.2,71,7.986212905795659,Top 5
Scottie Barnes,2021,4,2025,10130980,15.3,7.5,3.5,6.6,0.9,1.9,23,19.3,7.7,5.8,65,7.206148462173158,Top 5
Jalen Suggs,2021,5,2025,9188385,11.8,3.6,4.4,-1.6,-5.6,-1.2,23,16.2,4.0,3.7,35,6.535682277292515,Top 5
Josh Giddey,2021,6,2025,8352367,12.5,7.8,6.4,0.4,-1.0,0.4,22,14.6,8.1,7.2,70,5.941024127237033,6–10
Jonathan Kuminga,2021,7,2025,7636307,9.3,3.3,0.9,3.0,-1.5,0.1,22,15.3,4.6,2.2,47,5.431691894045011,6–10
Franz Wagner,2021,8,2025,7007092,15.2,4.5,2.9,4.0,-0.7,0.8,23,24.2,5.7,4.7,60,4.984132358380516,6–10
Davion Mitchell,2021,9,2025,6451077,11.5,2.2,4.2,0.1,-3.8,-0.9,26,7.9,2.3,4.9,74,4.588639855464193,6–10
Ziaire Williams,2021,10,2025,6133005,8.1,2.1,1.0,2.2,-3.0,-0.3,23,10.0,4.6,1.3,63,4.362395794804677,6–10
Chris Duarte,2021,13,2025,5893768,13.1,4.1,2.1,0.9,-2.3,-0.1,27,2.1,1.2,0.5,17,4.192226932597377,11–15
Moses Moody,2021,14,2025,5803269,4.4,1.5,0.4,1.3,-2.5,-0.1,22,9.8,2.6,1.3,74,4.12785515122201,11–15
Corey Kispert,2021,15,2025,5705887,8.2,2.7,1.1,2.3,-2.3,-0.1,25,11.6,3.0,1.7,61,4.05858750391214,11–15
Trey Murphy III,2021,17,2025,5159854,5.4,2.4,0.6,1.9,-1.2,0.2,24,21.2,5.1,3.5,53,3.6701951802429793,16–20
Tre Mann,2021,18,2025,4908373,10.4,2.9,1.5,0.1,-4.3,-0.8,23,14.1,2.9,3.0,13,3.491317182120807,16–20
Jalen Johnson,2021,20,2025,4510905,2.4,1.2,0.1,0.0,-4.9,-0.1,23,18.9,10.0,5.0,36,3.2085988846843256,16–20
Keon Johnson,2021,21,2025,2162606,7.2,2.2,2.1,-0.5,-5.9,-0.7,22,10.6,3.8,2.2,79,1.538257888297721,21–30
Isaiah Jackson,2021,22,2025,4435381,8.3,4.1,0.3,1.4,-1.5,0.1,23,7.0,5.6,1.0,5,3.1548787947762253,21–30
Quentin Grimes,2021,25,2025,4296682,6.0,2.0,1.0,1.4,-0.3,0.3,24,14.6,4.3,3.0,75,3.0562224371923636,21–30
Bones Hyland,2021,26,2025,4158439,10.1,2.7,2.8,2.4,-0.4,0.5,24,6.2,1.0,1.3,24,2.9578904316157852,21–30
Cam Thomas,2021,27,2025,4041249,8.5,2.4,1.2,0.8,-3.4,-0.4,23,24.0,3.3,3.8,25,2.874533388340399,21–30
Jaden Springer,2021,28,2025,4772772,1.0,1.0,0.0,0.0,17.1,0.0,22,2.5,1.3,0.8,43,3.394864426551342,21–30
Day'Ron Sharpe,2021,29,2025,3989122,6.2,5.0,0.5,1.2,-2.8,-0.1,23,7.9,6.6,1.8,50,2.837455543858651,21–30
Santi Aldama,2021,30,2025,3960531,4.1,2.7,0.7,0.3,-5.7,-0.3,24,12.5,6.4,2.9,65,2.8171188152616153,21–30
