Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
49,Dante Exum,PG,28,DAL,21,0,6.9,0.8,2.1,0.364,0.3,1.0,0.35,0.4,1.1,0.2,0.3,0.667,0.1,0.7,0.8,0.6,0.1,0.0,0.2,0.4,2.0
50,Markelle Fultz,PG,25,ORL,7,0,15.1,2.9,4.9,0.588,0.0,0.1,0.0,2.9,4.7,0.7,1.3,0.556,1.0,1.0,2.0,1.1,0.4,0.0,1.1,1.7,6.4
51,Daniel Gafford,PF,25,DAL,22,22,20.2,3.5,5.6,0.634,0.0,0.0,0.0,3.5,5.6,1.9,3.0,0.631,1.9,3.6,5.5,0.7,0.3,1.5,0.9,1.7,9.0
53,Darius Garland,PG,24,CLE,12,12,36.0,6.1,14.3,0.427,2.1,5.9,0.352,4.0,8.3,1.4,1.8,0.81,0.1,3.5,3.6,5.8,1.1,0.2,2.3,2.8,15.7
54,Luka Garza,C,25,MIN,7,0,3.7,1.4,1.7,0.833,0.3,0.4,0.667,1.1,1.3,1.0,1.1,0.875,0.3,0.6,0.9,0.1,0.0,0.0,0.0,0.0,4.1
55,Paul George,PF,33,LAC,6,6,37.0,6.5,15.8,0.411,3.0,8.2,0.367,3.5,7.7,3.5,4.2,0.84,0.5,6.3,6.8,4.8,1.2,0.5,2.3,3.7,19.5
56,Josh Giddey,SG,21,OKC,10,8,18.1,3.4,7.5,0.453,1.2,3.4,0.353,2.2,4.1,0.7,0.8,0.875,0.7,2.9,3.6,2.1,0.2,0.4,1.2,0.9,8.7
57,Shai Gilgeous-Alexander,PG,25,OKC,10,10,39.9,11.1,22.4,0.496,1.6,3.7,0.432,9.5,18.7,6.4,8.1,0.79,0.8,6.4,7.2,6.4,1.3,1.7,2.2,3.1,30.2
58,Rudy Gobert,C,31,MIN,15,15,34.1,4.3,6.9,0.615,0.0,0.0,0.0,4.3,6.9,3.5,5.3,0.671,2.7,7.1,9.8,1.6,0.9,1.0,1.5,3.7,12.1
59,Aaron Gordon,PF,28,DEN,12,12,37.1,5.8,9.8,0.585,0.9,2.3,0.407,4.8,7.6,1.9,2.3,0.821,3.0,4.3,7.3,4.4,0.8,0.6,1.5,2.3,14.3
61,A.J. Green,SG,24,MIL,6,0,11.2,1.0,2.7,0.375,0.3,1.8,0.182,0.7,0.8,0.5,0.5,1.0,0.0,1.5,1.5,0.3,0.0,0.0,0.2,1.5,2.8
62,Josh Green,SG,23,DAL,22,0,18.1,1.6,3.9,0.424,1.0,2.7,0.39,0.6,1.2,0.6,0.9,0.737,1.0,1.6,2.5,1.0,0.8,0.1,0.3,1.3,5.0
63,Rui Hachimura,PF,25,LAL,5,5,30.4,3.0,7.6,0.395,1.0,2.8,0.357,2.0,4.8,0.8,1.6,0.5,1.2,2.6,3.8,0.8,0.0,0.0,0.4,1.6,7.8
64,Tyrese Haliburton,PG,23,IND,15,15,34.8,7.0,14.3,0.488,3.5,9.3,0.379,3.5,5.0,1.1,1.3,0.85,0.8,4.0,4.8,8.2,1.3,0.7,2.1,0.9,18.7
65,Tim Hardaway Jr.,SF,31,DAL,14,0,12.7,1.6,4.1,0.379,0.9,2.6,0.351,0.6,1.5,0.3,0.6,0.5,0.1,1.6,1.8,0.4,0.4,0.1,0.1,0.7,4.4
66,James Harden,PG,34,LAC,6,6,40.3,6.7,14.8,0.449,3.0,7.8,0.383,3.7,7.0,4.8,5.3,0.906,0.5,4.0,4.5,8.0,1.0,1.0,2.3,2.2,21.2
67,Jaden Hardy,SG,21,DAL,19,0,6.8,1.5,3.6,0.426,0.6,1.4,0.407,0.9,2.2,0.6,0.8,0.733,0.1,0.7,0.8,0.9,0.2,0.0,0.4,0.7,4.2
68,Gary Harris,SG,29,ORL,6,6,26.5,1.3,4.7,0.286,1.2,3.7,0.318,0.2,1.0,0.3,0.3,1.0,0.8,1.2,2.0,0.7,1.2,0.5,0.3,3.0,4.2
69,Tobias Harris,PF,31,PHI,6,6,36.3,3.7,8.5,0.431,1.0,3.0,0.333,2.7,5.5,0.7,0.7,1.0,1.5,5.7,7.2,1.5,0.2,0.5,0.5,1.8,9.0
70,Josh Hart,SF,28,NYK,13,13,42.2,5.1,11.5,0.44,1.7,4.5,0.373,3.4,7.0,2.7,3.7,0.729,2.8,8.7,11.5,4.5,1.0,0.8,2.6,3.2,14.5
71,Isaiah Hartenstein,C,25,NYK,13,13,29.8,3.5,5.8,0.592,0.1,0.2,0.5,3.4,5.7,1.5,1.7,0.864,3.8,4.1,7.8,3.5,0.3,0.9,1.5,3.2,8.5
72,Sam Hauser,SF,26,BOS,19,0,14.9,1.9,4.4,0.429,1.4,3.7,0.38,0.5,0.7,0.2,0.2,1.0,0.4,1.7,2.2,0.6,0.3,0.2,0.2,1.1,5.4
75,Gordon Hayward,SF,33,OKC,7,0,6.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.1,1.7,1.9,0.4,0.1,0.1,0.0,0.3,0.0
76,Tyler Herro,SG,24,MIA,5,5,37.0,6.0,15.6,0.385,3.0,8.6,0.349,3.0,7.0,1.8,2.0,0.9,0.0,3.6,3.6,5.4,0.4,0.0,2.8,2.0,16.8
78,Haywood Highsmith,PF,27,MIA,5,0,25.2,2.0,5.6,0.357,0.6,3.2,0.188,1.4,2.4,0.2,0.2,1.0,0.4,2.4,2.8,1.6,0.2,0.2,0.8,2.8,4.8
79,Jrue Holiday,PG,33,BOS,19,19,37.9,5.1,10.2,0.503,1.8,4.6,0.402,3.3,5.6,1.1,1.2,0.955,1.9,4.2,6.1,4.4,1.1,0.6,1.5,2.1,13.2
80,Justin Holiday,SG,34,DEN,12,0,12.5,0.9,2.9,0.314,0.9,2.4,0.379,0.0,0.5,0.2,0.3,0.5,0.1,1.6,1.7,0.3,0.5,0.0,0.3,1.3,2.9
81,Chet Holmgren,C,21,OKC,10,10,34.5,5.9,11.9,0.496,1.3,5.0,0.26,4.6,6.9,2.5,3.3,0.758,1.4,5.8,7.2,2.1,0.7,2.5,1.9,2.6,15.6
82,Al Horford,C,37,BOS,19,15,30.3,3.5,7.3,0.478,1.8,5.0,0.368,1.6,2.3,0.4,0.6,0.636,1.8,5.2,7.0,2.1,0.8,0.8,0.6,1.5,9.2
86,Joe Ingles,SF,36,ORL,7,0,9.7,0.6,1.7,0.333,0.3,1.0,0.286,0.3,0.7,0.1,0.3,0.5,0.3,1.6,1.9,1.7,0.4,0.0,0.0,0.4,1.6
88,Kyrie Irving,SG,31,DAL,22,22,40.0,8.5,18.1,0.467,2.4,6.2,0.39,6.0,11.9,2.8,3.3,0.849,1.0,2.7,3.7,5.1,1.0,0.3,2.3,2.8,22.1
89,Jonathan Isaac,PF,26,ORL,7,3,21.0,2.3,5.6,0.41,1.4,3.9,0.37,0.9,1.7,0.3,0.3,1.0,1.4,3.4,4.9,0.4,0.7,1.3,0.6,1.0,6.3
