Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
182,Max Strus,SF,27,CLE,12,12,36.2,3.5,8.6,0.408,2.1,6.0,0.347,1.4,2.6,0.4,0.4,1.0,0.7,4.7,5.3,2.9,0.8,0.0,1.3,3.4,9.5
183,Jalen Suggs,SG,22,ORL,7,7,33.1,4.7,11.7,0.402,2.0,6.9,0.292,2.7,4.9,3.3,4.3,0.767,1.6,3.6,5.1,3.3,1.3,0.4,2.9,2.6,14.7
184,Jayson Tatum,PF,25,BOS,19,19,40.4,8.4,19.6,0.427,2.1,7.3,0.283,6.3,12.3,6.2,7.2,0.861,0.9,8.8,9.7,6.3,1.1,0.7,2.6,2.8,25.0
187,Tristan Thompson,C,32,CLE,10,0,8.7,0.7,1.6,0.438,0.0,0.0,0.0,0.7,1.6,0.1,0.2,0.5,1.0,1.0,2.0,1.0,0.1,0.5,0.2,0.9,1.5
188,Xavier Tillman Sr.,PF,25,BOS,8,0,8.6,0.6,1.0,0.625,0.1,0.1,1.0,0.5,0.9,0.1,0.1,1.0,0.5,1.3,1.8,0.4,0.4,0.4,0.4,0.9,1.5
189,Obi Toppin,PF,25,IND,17,0,20.2,4.3,7.9,0.541,1.2,3.3,0.357,3.1,4.6,1.1,1.5,0.76,0.6,3.8,4.4,1.7,0.4,0.4,0.8,1.2,10.9
190,Karl-Anthony Towns,PF,28,MIN,16,16,32.6,6.8,14.5,0.466,1.9,5.2,0.361,4.9,9.3,3.7,4.3,0.855,2.2,6.8,9.0,2.6,0.8,0.2,1.7,3.4,19.1
192,Myles Turner,C,27,IND,17,17,32.4,6.2,12.1,0.517,2.3,5.1,0.453,3.9,7.0,2.2,2.9,0.76,1.5,5.1,6.6,2.1,0.5,1.5,1.9,2.6,17.0
195,Gabe Vincent,PG,27,LAL,5,0,13.8,0.6,2.4,0.25,0.2,1.4,0.143,0.4,1.0,0.0,0.0,0.0,0.2,1.4,1.6,0.6,0.4,0.0,0.6,1.6,1.4
197,Franz Wagner,SF,22,ORL,7,7,37.0,6.0,14.7,0.408,1.3,4.9,0.265,4.7,9.9,5.6,6.3,0.886,1.4,5.4,6.9,4.4,0.7,1.3,1.3,2.9,18.9
198,Moritz Wagner,C,26,ORL,7,0,15.0,2.3,5.1,0.444,0.3,1.3,0.222,2.0,3.9,1.4,2.4,0.588,1.6,2.9,4.4,0.3,0.9,0.4,1.1,3.0,6.3
199,Jarace Walker,PF,20,IND,9,0,3.4,0.3,1.1,0.3,0.0,0.3,0.0,0.3,0.8,0.2,0.3,0.667,0.1,0.3,0.4,0.4,0.2,0.1,0.7,0.2,0.9
200,Cason Wallace,SG,20,OKC,10,0,19.8,1.6,4.1,0.39,0.9,2.8,0.321,0.7,1.3,0.1,0.2,0.5,0.7,0.6,1.3,1.0,0.9,0.2,0.4,1.4,4.2
203,P.J. Washington,PF,25,DAL,22,22,35.7,4.5,10.6,0.427,2.1,6.1,0.348,2.4,4.5,1.8,2.5,0.709,1.5,5.1,6.6,1.4,0.7,0.8,1.5,3.0,13.0
205,Peyton Watson,SF,21,DEN,10,0,9.0,0.6,2.4,0.25,0.3,1.2,0.25,0.3,1.2,0.3,0.6,0.5,0.2,1.3,1.5,0.4,0.0,0.6,0.3,0.9,1.8
206,Russell Westbrook,PG,35,LAC,6,0,19.0,2.2,8.3,0.26,0.7,2.8,0.235,1.5,5.5,1.3,2.2,0.615,1.0,3.2,4.2,1.7,1.2,0.5,1.7,1.8,6.3
207,Derrick White,SG,29,BOS,19,19,35.6,5.7,12.7,0.452,3.4,8.5,0.404,2.3,4.2,1.8,2.0,0.921,1.0,3.3,4.3,4.1,0.9,1.2,0.8,2.3,16.7
208,Aaron Wiggins,SG,25,OKC,10,0,15.7,2.3,4.7,0.489,0.6,2.0,0.3,1.7,2.7,1.0,1.1,0.909,0.9,2.3,3.2,1.0,0.6,0.3,0.9,0.8,6.2
209,Jalen Williams,PF,22,OKC,10,10,37.7,7.5,16.0,0.469,1.5,3.9,0.385,6.0,12.1,2.2,2.7,0.815,1.3,5.5,6.8,5.4,1.7,0.5,1.9,2.1,18.7
210,Jaylin Williams,C,21,OKC,10,0,12.7,1.6,3.3,0.485,0.9,2.2,0.409,0.7,1.1,0.3,0.4,0.75,0.4,2.8,3.2,1.5,0.4,0.3,0.3,1.1,4.4
211,Kenrich Williams,PF,29,OKC,7,0,4.6,0.3,1.1,0.25,0.0,0.7,0.0,0.3,0.4,0.0,0.0,0.0,0.1,1.0,1.1,0.4,0.1,0.0,0.0,0.4,0.6
214,Ivica Zubac,C,26,LAC,6,6,32.0,7.0,11.7,0.6,0.0,0.0,0.0,7.0,11.7,2.2,3.3,0.65,3.0,6.3,9.3,1.0,0.8,0.5,1.3,3.5,16.2
